timestamp,policy,endpoint,method,payload_bytes,inflight_sync,inflight_async,inflight_process,work_sync,work_async,work_process,worker,latency_ms,error
1789747123.2932103,least_conn,/api/user/profile,POST,200,2,2,2,1897.3,2777.7,808.7,sync,46.341,
1789747123.295743,least_conn,/api/user/profile,POST,200,6,6,6,2643.0,7358.1,2597.6,sync,45.949,
1789747123.2958865,least_conn,/api/user/profile,POST,200,7,7,7,2750.4,8126.5,2921.1,sync,45.456,
1789747123.3044698,least_conn,/api/user/profile,POST,200,1,1,0,1468.1,1254.6,0.0,process,58.488,
1789747123.3298068,least_conn,/api/user/profile,POST,200,6,8,8,3682.5,8520.7,3025.1,sync,32.038,
1789747123.330094,least_conn,/api/user/profile,POST,200,7,8,8,3792.5,8518.6,3023.1,sync,32.073,
1789747123.3977559,least_conn,/api/auth/verify,POST,150,4,3,3,2221.3,3949.4,1288.5,async,149.781,
1789747123.4009068,least_conn,/api/feed,POST,300,1,1,1,1467.9,1254.5,327.3,sync,154.744,
1789747123.4011366,least_conn,/api/feed,POST,300,8,8,7,2859.3,8896.4,2918.6,process,150.346,
1789747123.4012835,least_conn,/api/feed,POST,300,2,2,1,1897.7,2778.1,326.8,process,154.621,
1789747123.4022913,least_conn,/api/feed,POST,300,3,3,2,2006.6,3950.2,807.0,process,154.583,
1789747123.4279692,least_conn,/api/feed,POST,300,4,4,3,2220.8,4587.4,1288.2,process,179.889,
1789747123.428816,least_conn,/api/user/profile,POST,200,7,7,6,2751.9,8128.0,2595.1,process,178.598,
1789747123.4295502,least_conn,/api/user/profile,POST,200,6,6,5,2644.0,7359.1,2271.0,process,179.914,
1789747123.4458716,least_conn,/api/auth/verify,POST,150,5,5,5,2430.9,6106.3,2273.2,sync,196.653,
1789747123.4464486,least_conn,/api/auth/verify,POST,150,4,4,4,2220.4,4586.9,1770.1,sync,198.264,
1789747123.4466906,least_conn,/api/search,POST,250,7,8,8,2442.0,8542.9,3047.3,sync,151.693,
1789747123.4468544,least_conn,/api/auth/verify,POST,150,3,3,3,2006.1,3949.7,1288.9,sync,198.992,
1789747123.4472358,least_conn,/api/report/generate,POST,350,0,0,0,0.0,0.0,0.0,sync,204.792,
1789747123.4558988,least_conn,/api/user/profile,POST,200,8,8,7,3843.4,8457.7,2694.3,process,150.264,
1789747123.4584594,least_conn,/api/search,POST,250,2,1,1,1898.2,1254.2,327.1,async,212.067,
1789747123.4745004,least_conn,/api/user/profile,POST,200,6,7,8,3071.0,7218.7,2269.5,sync,74.819,
